"Slot","Name","Cost","Color","Melee/Ranged","Type","Subtype","Effectiveness (0-4 = common, 5-8 = uncommon, 9-10 = rare)","Rules","Flavor","Attack Power","Health","Image","Artist","Notes",,"Name Size","Subtype Size","Has PH","Color Calculator","Iconified Cost","Iconified Rules","Italicized Type","Setted Slot",,
"OU_001","Inspiring Leadership","3OOO",#NAME?,,"R. Effect"," ","5","<center>(This effect can only be deployed if you control a renowned asset. )<br/><u>Append to Combatant [3][O][O][O]</u> (As you deploy a combatant you may reveal ~ and pay [3][O][O][O]. If you do add this card's effects as it resolves; it loses those effects once it leaves the stack.)</center><p>You may activate your commander's As Commander effect (ignoring any costs and timing/occurrence restrictions.)</p>",,,,,,,,55,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Effect[/i]","RT_OU_001",,
"OU_002","Flakka Shot","O",#NAME?,,"Asset","Drug","5","<center><u>Exchange [2]</u> (Pay [2], Discard ~ from your hand: Draw a card.)</center><p><u>Forfeit</u> (Put the specified card into its owner's discard pile.) ~: Choose an asset to permanently get +3/+3 and <u>reckless</u> (The specified asset can't intercept.)</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OU_002",,
"OU_003","Banked Favors","XXO",#NAME?,,"Effect","Trap <u>Response</u>","6","The top [X] cards of your deck permanently cost [Z] (Z is 1 plus the number of combatants that entered the battlefield under your opponent's control this turn.) less.",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_OU_003",,
"OU_004","Fickle Loyalist","O",#NAME?,"Melee","Asset","Augmented Civilian Rebel","5","<center><u>Subterfuge</u> (Damage dealt by this card, doesn't cause your opponents to draw cards.)</center><p>Whenever ~ is dealt damage, the player who controlled the source of damage gains control of ~.</p>",,5,5,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OU_004",,
"OU_005","Political Intern","2O",#NAME?,"Melee","Asset","Human Civilian Intern","5","<center><u>Subterfuge</u> (Damage dealt by this card, doesn't cause your opponents to draw cards.), <u>Quick Hire</u> (When ~ is hired as a generator, it can utilize as soon as it is hired.)</center><p>[T]: Add [O].</p><p>[2][O][O], [T]: Swap control of Political Intern and an asset of your choice an opponent controls.</p>",,5,3,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OU_005",,
"OU_006","Fugitive on the Run","1O",#NAME?,"Melee","Asset","Human Criminal","5","<center><u>Pierce</u> (~ deals combat damage greater than the combined health of the assets intercepting it to the commander it is attacking and bypasses armor.), <u>Rush</u> (~ can attack and intercept as soon as it resolves, but it can't be explicitly utilized that turn.)</center><p>When ~ enters the battlefield, choose an opponent; create 2 <i>'Fellow Officer'</i>s on the battlefield under their control.</p>",,6,2,,,,,50,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OU_006",,
"OU_007","Loyal Supporter","2O",#NAME?,"Melee","Asset","Human Delta Operative","5","<center><u>Advantageous</u> (When ~ resolves, draw a card.), <u>Subterfuge</u> (Damage dealt by this card, doesn't cause your opponents to draw cards.)</center><p><u>Once</u> (As you activate this effect, remove it from this card): remove the first Tragedy card in your deck from the game.</p>",,5,5,,,,,60,40,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OU_007",,
"OU_008","Communications Blackout","O",#NAME?,,"Effect","<u>Response</u>","5","<center><u>Response</u> (You may deploy ~ in response to other cards and effects.)</center><p>Until end of turn, whenever a player would draw a card, you may have your commander lose 2 loyalty to prevent that card draw.</p>",,,,,,,,45,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_OU_008",,
"OC_001","Delta Enforcer","1O",#NAME?,"Ranged","Asset","Augmented Delta Operative","2","Each time ~ has dealt combat damage to an opponent 3 times, create a <i>'Bullet'</i> on the battlefield.",,3,3,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OC_001",,
"OC_002","Reckless Recruit","O",#NAME?,"Melee","Asset","Human Delta Recruit","2","<center><u>Reckless</u> (~ can't intercept.)</center>",,5,4,,,,,60,40,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OC_002",,
"OC_003","Fist Fight","1O",#NAME?,,"Effect","<u>Response</u>","5","<center><u>Retribution</u> (When you draw ~ as a result of taking damage, you may deploy it without paying its cost.)</center><p>Choose 2 combatants to <u>challenge</u> (The challenged asset must intercept its challenger the next time it's challenger attacks, if able.) each other.</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_OC_003",,
"OC_004","Disgruntled Employee","O",#NAME?,"Ranged","Asset","Human Civilian Rebel","3","<center><u>Doubt 2</u> (When you deploy ~, shuffle 2 'Doubt's into your deck.)</center><p>Disgruntled Employee enters the battlefield utilized.</p>",,4,6,,,,,50,40,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OC_004",,
"OC_005","Arm the Mob","1O",#NAME?,,"Effect",,"2","<center><u>Warrant</u> (When you deploy ~, shuffle an 'Incarceration' into your deck.)</center><p>Choose an asset to permanently gain +1/+1 and <u>mob</u> (You may assign any number of mob combatants you control to a unit. )</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_OC_005",,
"OC_006","Reword the Memo","O",#NAME?,,"Effect","<u>Response</u>","2","Swap the order of the 2 triggers and/or cards on the stack before this card.",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_OC_006",,
"OC_007","Production Layoffs","3O",#NAME?,,"Effect","<u>Response</u>","2","<center><u>Retribution</u> (When you draw ~ as a result of taking damage, you may deploy it without paying its cost.)</center><p>Choose a generator, return it to its owner's hand.</p>","""The more layoffs the more dissidents!"" <p>-- Samuel</p>",,,,,,,50,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_OC_007",,
"OC_008","Reckless Assaulter","3OO",#NAME?,"Melee","Asset","Augmented Male Delta Operative","4","<center><u>Reckless</u> (~ can't intercept.)</center>",,13,5,,,,,50,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OC_008",,
"OC_009","Bouncer","O",#NAME?,"Melee","Asset","Augmented Civilian","1",,"""Whoa, Whoa, Whoa! I'm gonna need to see some ID kid...""",5,2,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OC_009",,
"OC_010","Delta Operative","1OO",#NAME?,"Melee","Asset","Human Delta Operative","1","<center><u>Reckless</u> (~ can't intercept.)</center>",,6,2,,,,,60,40,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OC_010",,
"OC_011","Lead by Example","_","Orange",,"Effect","<u>Response</u>",4,"<p><center>~'s cost is equal to your commander's cost</center></p><p>Your commander becomes an asset, until end of turn (Damage it takes as an asset becomes lost loyalty. If it would leave the battlefield, instead it returns to being your commander.)</p>",,,,,,,,60,50,#NAME?,"Orange",#NAME?,#NAME?,"[i]Effect[/i]","RT_OC_011",,
"OC_012","OC_012",,#NAME?,,,,,,,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i][/i]","RT_OC_012",,
"O_CMDR_2","Sara Anthony, Master of Disguise","3O",#NAME?,"Ranged","Commander","Augmented Female Delta Operative","9","<center>(Becomes <i>'Sara's Quest'</i> if you already control ~.)<br/><u>Warrant</u></center><p><b><i>As Commander</i> --</b> Once each game, at the beginning of one of your turns, you may choose a combatant; transform it into a copy of another combatant with an equal or lesser <u>generalized cost</u>.</p><p><b><i>As Asset</i> --</b> Sara Anthony may enter the battlefield as a copy of another combatant of your choice.</p>","""I lost my best friend and my face looking for the truth of what happened to my father.. I won't lose anyone else.""",6,7,,,"Flavor linked with Cyber Criminal",,45,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Commander[/i]","RT_O_CMDR_2",,
"O_CMDR_2b","Sara's Quest","2OO",#NAME?,,"R. Effect","<u>Personal</u>","0","<center>(This effect can only be deployed if you control a renowned asset. )</center><p>Search your deck for a card, put a copy of it into your hand, then shuffle your deck.</p><p><u>Personal</u> (Shuffle <i>'Sara Anthony, Master of Disguise'</i> into your deck.)</p>","""..Fortunately I was young enough for them not to rewrite my memory too; but not young enough to forget! I will find my father and fix him."" <p>-- Sara Anthony</p>",,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Effect[/i]","RT_O_CMDR_2b",,
"OR_005","Ambush","XO",#NAME?,,"Effect","<u>Response</u>","10","<p>Choose a combatant in your hand with <u>generalized cost</u> (The cost of the card if all typed symbols were replaced with generic numbers. Ex Delta Operative has a generalized cost of [2].) [X] or less; put it into play intercepting an attacking combatant of your choice an opponent controls.</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_OR_005",,
"OR_006","Lurking Operative","OO",#NAME?,"Melee","Asset","Human Delta Operative <u>Response</u>","9","<center><u>Response</u> (~ can be deployed during response phases.), <u>Subterfuge</u> (Damage dealt by this card, doesn't cause your opponents to draw cards.)</center><p>~ can intercept as soon as it is deployed.</p>",,4,4,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OR_006",,
"OR_007","Project Delta","XXOO",#NAME?,,"Asset","<u>Discovery</u> Delta Cause","9","<center>(When ~ enters the battlefield or at the beginning of your turn, progress to the next phase unless the final phase has been reached.)</center><p><b><i>1-3)</i></b> Choose a card in your hand with <u>generalized cost</u> [X] or less; deploy it without paying its cost.</p><p><b><i>Final)</i></b> If an opponent would lose the game, each opponent loses the game.</p>",,,,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OR_007",,
"OR_008","Incendiary Grenade","O",#NAME?,,"Asset","Grenade","10","<p>When ~ enters the battlefield, you may attach it to a combatant.<br/><u>Throw</u>, <u>Forfeit</u> (Put the specified card into its owner's discard pile.) ~: Choose a generator; it gains ""At the end of your turn, you must choose a combatant you control; this card deals 1 damage to that combatant for each time it has been chosen by this effect. You may <u>Forfeit</u> this generator to end this effect.""</p><p><u>Forfeit</u> ~: Add [O][O][O].</p>",,,,,,,,50,,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OR_008",,
"OU_009","Prison Break","OO",#NAME?,,"Effect",,5,"Choose a police or prison card; its owner <u>forfeits</u> (Put the specified card into its owner's discard pile.) it.",,,,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_OU_009",,
"OU_010","Pain Amplifier","2O",#NAME?,,"Asset","Drug","5","<u>Forfeit</u> (Put the specified card into its owner's discard pile.) ~: Choose a combatant; it permanently takes double damage.",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OU_010",,
"OU_011","Stolen Helicopter","1O",#NAME?,"Ranged","Asset","<u>Vehicle</u> Delta Helicopter","5","<center><u>Flying</u> (~ can only be intercepted by assets with ranged or flying. If ~ is intercepting you may choose another combatant or commander you control, that is not also intercepting, to take the damage instead.), <u>Vehicle</u></center><p><i>Strength in Numbers</i> -- Whenever ~ attacks, choose another combatant, that combatant attacks with ~, until end of turn that combatant gains <u>brutal</u> and +1/+0.</p>",,5,1,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OU_011",,
"OU_012","Delta Infiltrator","2O",#NAME?,"Melee","Asset","Human Delta Operative","5","<center><u>Subterfuge</u> (Damage dealt by this card, doesn't cause your opponents to draw cards.)</center><p><i>Strength in Numbers</i> -- Whenever ~ attacks, choose another combatant, that combatant attacks with ~, until end of turn that combatant gains <u>shield</u> (Prevent the next instance of damage that asset would receive. Once damage has been prevented this way, that asset loses shield.)</p>",,4,4,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OU_012",,
"OU_013","Lost and Found","O",#NAME?,,"Effect","<u>Response</u>","5","Draw 2 cards, then put 2 cards from your hand on top of your deck.",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_OU_013",,
"OU_014","Wirecutter","O","Orange","Ranged","Asset","Human Delta Operative","5","<center>Players can't draw cards during combat.</center>",,1,1,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OU_014",,
"OU_015","Stealth Suit","OO",#NAME?,,"Asset","Equipment Delta Suit","5","<center><u>Tradeable</u> (Once each turn, you may pay ~'s cost, if you do choose another asset; attach ~ to it.)</center><p>The attached asset has <u>response</u> (The attached card can be deployed during response phases.) and <u>subterfuge</u> (Damage dealt by the attached card, doesn't cause your opponents to draw cards.)</p><p>You may attach ~ to assets in your hand, even if ~ is in your hand.</p>",,,,,,,,60,40,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OU_015",,
"OU_016","Oppressive Foreman","2O",#NAME?,"Melee","Asset","Human Civilian","5","When ~ enters the battlefield, create a <i>'Disgruntled Employee'</i> on the battlefield.",,4,3,,,,,50,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OU_016",,
"OC_013","Delta Spy","1O",#NAME?,"Melee","Asset","Human Delta Operative","1",,,4,4,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OC_013",,
"OC_014","Sabotage","3O",#NAME?,,"Effect",,"4","<center><u>Warrant</u> (When you deploy ~, shuffle an 'Incarceration' into your deck.)</center><p>~ costs [1] less to deploy if you didn't go first.</p><p>Choose a generator; its controller <u>forfeits</u> (Put the specified generator into its owner's discard pile.) it.</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_OC_014",,
"OC_015","Restrain","O",#NAME?,,"Effect","<u>Response</u>","2","<center><u>Advantageous</u> (When ~ resolves, draw a card.)</center><p>Choose a combatant, until end of turn, it has an attack power of 0.</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_OC_015",,
"OC_016","Sara's Assistant","2O",#NAME?,"Melee","Asset","Human Male Delta Operative","1","<center><u>Reckless</u> (~ can't intercept.), <u>Subterfuge</u> (Damage dealt by this card, doesn't cause your opponents to draw cards.)</center>",,6,6,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OC_016",,
"OC_017","Under the Radar","O",#NAME?,,"Effect",,"1","Choose an asset; until end of turn, it gains <u>subterfuge</u> (Damage dealt by that card, doesn't cause your opponents to draw cards.)",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_OC_017",,
"OC_018","Rookie Operative","1OO",#NAME?,"Melee","Asset","Human Delta Recruit","1","<center><u>Subterfuge</u> (Damage dealt by this card, doesn't cause your opponents to draw cards.)</center>",,5,2,,,,,60,40,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OC_018",,
"OC_019","Big-Gunned Operative","2OO",#NAME?,"Ranged","Asset","Augmented Delta Operative","2","<center><u>Pierce</u> (~ deals combat damage greater than the combined health of the assets intercepting it to the commander it is attacking and bypasses armor.)</center>",,5,2,,,,,50,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OC_019",,
"OC_020","Assault Operative"," ","Orange","Melee","Asset","Human Delta Operative","2","<center><u>Prepare 3 -- [O]</u> (Pay [O] and put ~ into your deck third from the top. When you would draw ~, instead deploy it without paying its cost.), <u>Armed -- 'Fully Automatic Assault Rifle'</u> (~ enters the battlefield with a transient <i>'Fully Automatic Assault Rifle'</i> attached to it.)</center><p>~ must be prepared.</p>",,3,3,,,,,50,40,#NAME?,"Orange",#NAME?,#NAME?,"[i]Asset[/i]","RT_OC_020",,
"OC_021","Bribed Guard","2OO",#NAME?,"Ranged","Asset","Human Guard Prison Rebel","2","<center><u>Doubt 1</u> (When you deploy ~, shuffle a 'Doubt' into your deck.)</center><p><u>Once</u> (As you activate this effect, remove it from this card): Choose a police or prison card; its owner <u>forfeits</u> (Put the specified card into its owner's discard pile.) it.</p>",,3,3,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OC_021",,
"OC_022","OC_022",,#NAME?,,,,,,,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i][/i]","RT_OC_022",,
"OC_023","OC_023",,#NAME?,,,,,,,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i][/i]","RT_OC_023",,
"OC_024","OC_024",,#NAME?,,,,,,,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i][/i]","RT_OC_024",,
"Y_CMDR_1","Martha Briggs, Space-corp Commander","3YY",#NAME?,"Melee","Commander","Augmented Female Space-corp Leader","10","<center>(Becomes <i>'Briggs's Remorse'</i>...)</center><p><b><i>As Commander</i> --</b> Whenever an asset you control resolves, you may give it <u>airdrop</u> and ""When this asset enters the battlefield, you have a 75% chance to <u>forfeit</u> it unless you pay a quarter of its cost (separated by type, rounded up.)""<br/><b><i>As Asset</i> --</b> After interceptors are declared, if ~@ would do combat damage to a commander, you may put a combatant onto the battlefield attacking. If you do, <u>forfeit</u> it at the end of your turn.</p>",,11,9,,,,,45,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Commander[/i]","RT_Y_CMDR_1",,
"Y_CMDR_1b","Briggs's Remorse","XY",#NAME?,,"R. Effect","<u>Personal</u>","0","<p>~ deals [X] to an asset or player of your choice.</p><p>You may deploy an asset in your hand with <u>generalized cost</u> (The cost of the card if all typed symbols were replaced with generic numbers. Ex ~ has a generalized cost of [1].) [X] or less without paying its cost.</p><p><u>Personal</u> (Shuffle <i>'Martha Briggs, Space-corp Commander'</i> into your deck.)</p>","""There are people in my past who I would rather forget."" <p>-- Martha Briggs</p>",,,,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Effect[/i]","RT_Y_CMDR_1b",,
"YR_001","Gunpoint Diplomacy","1YY",#NAME?,,"Effect",,"9","<center><u>Retribution</u> (When you draw ~ as a result of taking damage, you may deploy it without paying its cost.)</center><p>Choose an opponent, then draw 2 cards, unless their commander takes 6 damage.</p>","That's right.. hand over the box of rations nice and slow. Capt. Lux doesn't want any trouble. <p>-- Supply Transport S.O.S.</p>",,,,,,,50,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_YR_001",,
"YR_002","All or Nothing","1YY",#NAME?,,"Effect",,"9","Search your deck for a card, put it into your hand, then shuffle your deck and discard a card at random.",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_YR_002",,
"YR_003","Asteroid Demolition","XXYY",#NAME?,,"R. Effect",,"10","<center>(This effect can only be deployed if you control a renowned asset. )</center><p>Choose [X] permanents at random to be <u>forfeited</u> (Put the specified assets into their owners' discard piles.) by their owners.</p>","""Cracking open an asteroid is always terrifying, nobody knows where the pieces will wind up."" <p>-- Space-corp Miner.</p>",,,,,,,50,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Effect[/i]","RT_YR_003",,
"YR_004","Double or Nothing","_","Yellow",,"Effect",,"9","<center>([_] must be paid with all of the energy you can currently access.)</center><p>Choose an opponent, you and that opponent each reveal the top card of your decks, then if your card has a higher <u>generalized cost</u> add double the energy spent to deploy ~ to your pool.</p><p>You and that opponent each draw a card.</p>",,,,,,,,60,50,#NAME?,"Yellow",#NAME?,#NAME?,"[i]Effect[/i]","RT_YR_004",,
"YU_001","Lexi Xenos, Space-corp Recruit","1Y",#NAME?,"Melee","R. Asset","Human Female Space-corp Cadet","6","<center>(If you obtain another card with the same name as ~, you must choose one to keep and another to send to its owner's discard pile.  Becomes <i>'Lexi's Last Day'</i> if you already control ~.)</center><p>When ~@ leaves the battlefield, you may search your deck for up to 4 cards, remove them from the game.</p>","""They drugged me and then bragged about it to half the ship! And your not going to do a damn thing about it?""",5,5,,,,,45,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Asset[/i]","RT_YU_001",,
"YU_001b","Lexi's Last Day","Y",#NAME?,,"R. Effect","<u>Personal</u>","0","<center>(This effect can only be deployed if you control a renowned asset. )</center><p>Choose a combatant you control to deal <u>X</u> (X is its attack power) damage to itself and another combatant of your choice.</p><p><u>Personal</u> (Shuffle <i>'Lexi Xenos, Space-corp Recruit'</i> into your deck.)</p>","""Come on newbie, with that attitude you won't last a week up here. Alcohol's the only thing that keeps you sane out in the void."" ",,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Effect[/i]","RT_YU_001b",,
"YU_002","Take Fate in Your Own Hands","2YY",#NAME?,,"R. Effect",,"7","<center>(This effect can only be deployed if you control a renowned asset. )<br/><u>Retribution</u> (When you draw ~ as a result of taking damage, you may deploy it without paying its cost.)</center><p>Until end of turn, you choose the results of random chance.</p>","""12/25/79: 1 of the new recruits is planning a revolution. She wants to get some of us deployed to an asteroid where we can cause as much havoc as possible. She already has 1 of the top engineers on her side, I don't quite understand her plan but she seems to be in a position to pull it off."" <p>-- Bunny's Diary</p>",,,,,,,45,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Effect[/i]","RT_YU_002",,
"YU_003","Intercept","3Y",#NAME?,,"Effect","<u>Response</u>","5","Choose a card on the stack, until end of turn, gain control of it. It permanently gains <u>airdrop</u> (It enters the battlefield as soon as it resolves.)",".. Especially since so many of our supply transports have been going missing. <p>— ?, Space-corp Logistics Manager.</p>",,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_YU_003",,
"YU_004","Space-corp Miner","3Y",#NAME?,"Melee","Asset","Miner Space-corp <u>Spacecraft</u>","5","<center><u>Spacecraft</u> (~ can only intercept or be intercepted by assets with spacecraft.)</center><p>[2][Y][Y], 50% chance of discarding a card at random: Until end of turn, assets you control get +2/+0.</p>","Even the most skilled miners have a tendency to get themselves hurt. Out here that's doubly dangerous.",4,5,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_YU_004",,
"YU_005","Set Fire to the Engine Room","3Y",#NAME?,,"Effect","<u>Response</u>","5","<p>Choose a generator, its owner <u>forfeits</u> (Put the specified card into its owner's discard pile.) it.</p><p>There is a 50% chance you <u>forfeit</u> a random generator you control.</p>",,,,,,,,45,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_YU_005",,
"YU_006","Crash Landing","2Y",#NAME?,,"Effect",,"5","<p>All assets loose <u>unbreakable</u> and <u>unkillable</u> until end of turn.</p><p><u>Forfeit</u> (Put the specified card into its owner's discard pile.) an asset you control: Choose an asset or player, ~ deals X (X is the discarded asset's attack power.) damage to it.</p>","..those on the ground fear what happens when it impacts.",,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_YU_006",,
"YU_007","Anti-Pirate Guards","2Y",#NAME?,"Ranged","Asset","Augmented Space-corp Guard","5","<center><u>Retribution</u> (When you draw ~ as a result of taking damage, you may deploy it without paying its cost.)</center><p>Whenever an asset you own comes under the control of another player, ~ deals 3 damage to their commander.</p>","""Find the traitors and bring them to JUSTICE!"" <p>-- Martha Briggs</p>",4,4,,,,,50,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_YU_007",,
"YU_008","Mining Fleet","1Y",#NAME?,"Melee","Asset","Miner Space-corp <u>Spacecraft</u> <u>Mob</u>","4","<center><u>Mob</u> (You may assign any number of mob combatants you control to a unit. ), <u>Spacecraft</u> (~ can only intercept or be intercepted by assets with spacecraft.)</center><p>A deck may have any number of ~ in it.</p><p>~ can only mob with other spacecraft.</p>",,2,3,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_YU_008",,
"YC_001","Space-corp Cadet","1Y",#NAME?,"Melee","Asset","Human Space-corp Cadet","1",,"""I am ready to bravery throw myself into the final frontier""",4,4,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_YC_001",,
"YC_002","Rewire","1Y",#NAME?,,"Effect","<u>Response</u>","3","<p>Choose a card on the stack and replace all references to players and their commander on that card with the player of your choice.</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_YC_002",,
"YC_003","Risky Repairs","Y",#NAME?,,"Effect","<u>Response</u>","2","Draw 2 cards, then discard a card at random.","""Making repairs out here is a harrowing experience."" <p>-- Space-corp Engineer</p>",,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_YC_003",,
"YC_004","Failed Reentry","1Y",#NAME?,,"Effect","<u>Response</u>","2","<p>Choose an asset or card in your hand, until end of turn, it gets +4/+0 and <u>airdrop</u> (It enters the battlefield as soon as it resolves.).</p><p><u>Forfeit</u> (Put the specified card into its owner's discard pile.) it at the end of the turn.</p>","A pilot's worst fear is burning up on reentry..",,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_YC_004",,
"YC_005","Transfer Supplies","1Y",#NAME?,,"Effect",,"2","<center><u>Exchange [2]</u> (Pay [2], Discard ~ from your hand: Draw a card.)</center><p>Choose an opponent, swap the top card of your deck with the top card of their deck.</p>","""Resupply missions to the further outposts are unsettling, they take ages and failure could mean the deaths of our own..""",,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_YC_005",,
"YC_006","Doomed Convoy","1Y",#NAME?,"Ranged","Asset","Space-corp <u>Spacecraft</u>","4","<center><u>Spacecraft</u> (~ can only intercept or be intercepted by assets with spacecraft.)</center><p>When ~ resolves, there is a 25% chance to give it to a random opponent.</p>","""Another transfer ship has vanished.""",6,6,,,,,60,40,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_YC_006",,
"YC_007","Ground Deployment Drop Ship","1YY",#NAME?,"Ranged","Asset","Space-corp <u>Vehicle</u>","1","<center><u>Airdrop</u> (It enters the battlefield as soon as it resolves.), <u>Flying</u> (~ can only be intercepted by assets with ranged or flying. If ~ is intercepting you may choose another combatant or commander you control, that is not also intercepting, to take the damage instead.), <u>Vehicle</u></center>",,4,4,,,,,45,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_YC_007",,
"YC_008","Miner with Unstable Rockets","1Y",#NAME?,"Melee","Asset","Miner Space-corp <u>Spacecraft</u>","1","<center><u>Spacecraft</u> (~ can only intercept or be intercepted by assets with spacecraft.)</center><p>Whenever ~ attacks, you have a 50% chance to discard a card at random.</p>",,4,4,,,,,45,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_YC_008",,
"YC_009","Reprobate Mechanic","2YY",#NAME?,"Melee","Asset","Human Male Space-corp Engineer","3","If an opponent's commander would lose loyalty outside of combat, it loses that much loyalty +1 instead.",,3,2,,,,,50,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_YC_009",,
"YC_010","Prototype Exosuit","2YY",#NAME?,"Melee","Asset","Equipment Exosuit Space-corp","2","<center><u>Tradeable</u> (Once each turn, you may pay ~'s cost, if you do choose another asset; attach ~ to it.)</center><p>Whenever ~ or the attached combatant attacks, there is a 50% chance for its attack power and health to be modified +3/-3 and a 50% chance for them to modified -3/+3.</p>",,4,4,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_YC_010",,
